Os Banshees de Inisherin,2022,7.8,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them."
O Pálido Olho Azul,2022,6.7,"A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man t... Read all"
Tudo em Todo Lugar ao Mesmo Tempo,2022,8.0,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
Babilônia,2022,7.6,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood."
O Menu,2022,7.2,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises."
Gato de Botas 2: O Último Pedido,2022,7.9,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the m... Read all"
Glass Onion: Um Mistério Knives Out,2022,7.2,Famed Southern detective Benoit Blanc travels to Greece for his latest case.
Avatar: O Caminho da Água,2022,7.8,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the arm... Read all"
O Pior Vizinho do Mundo,2022,7.6,"Otto is a grump who's given up on life following the loss of his wife and wants to end it all. When a young family moves in nearby, he meets his match in quick-witted Marisol, leading to a f... Read all"
The Whale,2022,8.0,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter."
Alerta Máximo,2023,6.9,A pilot finds himself caught in a war zone after he's forced to land his commercial aircraft during a terrible storm.
Tár,2022,7.6,"Set in the international world of Western classical music, the film centers on Lydia Tár, widely considered one of the greatest living composer-conductors and the very first female director ... Read all"
X - A Marca da Morte,2022,6.6,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their ... Read all"
Os Fabelmans,2022,7.7,"Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the ... Read all"
Trem-Bala,2022,7.3,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.
Entre Facas e Segredos,2019,7.9,"A detective investigates the death of the patriarch of an eccentric, combative family."
Avatar,2009,7.9,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
Top Gun: Maverick,2022,8.3,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ... Read all"
Sick,2022,6.1,"Due to the pandemic, Parker and her best friend decide to quarantine at the family lake house alone - or so they think."
Elvis,2022,7.4,"The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker... Read all"
M3gan,2022,6.5,A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.
Triângulo da Tristeza,2022,7.5,A fashion model celebrity couple join an eventful cruise for the super-rich.
Esquema de Risco - Operação Fortune,2023,6.7,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology t... Read all
Procura-se Gonker,2023,6.0,Based on the true story of a father and son who repair their fractured relationship during a forced hike of the Appalachian trail to find their beloved lost dog.
Skinamarink,2022,5.4,"Two children wake up in the middle of the night to find their father is missing, and all the windows and doors in their home have vanished."
Amsterdam,2022,6.1,"In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history."
Aftersun,2022,7.8,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcil... Read all
Ruído Branco,2022,5.7,"Dramatizes a contemporary American family's attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love, death, and the possibility of h... Read all"
Bank of Dave,2023,7.2,Based on the true-life experiences of Dave Fishwick; 'Bank of Dave' tells the story of how a working class Burnley man and self-made millionaire fought to set up a community bank.
Irmãos de Honra,2022,6.7,A pair of U.S. Navy fighter pilots risk their lives during the Korean War and become some of the Navy's most celebrated wingmen.
The Old Way,2023,5.3,"An old gunslinger and his daughter must face the consequences of his past, when the son of a man he murdered years ago arrives to take his revenge."
House Party,2023,4.4,"From New Line Cinema comes your VIP ticket into the hottest event of the year:""House Party,"" the remix to the fan-favorite '90s classic."
"Não Se Preocupe, Querida",2022,6.2,A 1950s housewife living with her husband in a utopian experimental community begins to worry that his glamorous company could be hiding disturbing secrets.
Noites Brutais,2022,7.0,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.
Nada de Novo no Front,2022,7.8,A young German soldier's terrifying experiences and distress on the western front during World War I.
Top Gun: Ases Indomáveis,1986,6.9,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taugh... Read all"
Pinóquio por Guillermo del Toro,2022,7.7,"A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child."
"RRR: Revolta, Rebelião, Revolução",2022,7.9,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.
Adão Negro,2022,6.4,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique... Read all"
A Queda,2022,6.4,"Best friends Becky and Hunter find themselves at the top of a 2,000-foot radio tower."
Matilda: O Musical,2022,7.1,"An adaptation of the Tony and Olivier award-winning musical. Matilda tells the story of an extraordinary girl who, armed with a sharp mind and a vivid imagination, dares to take a stand to c... Read all"
O Poderoso Chefão,1972,9.2,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
Pantera Negra: Wakanda para Sempre,2022,7.2,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.
